project_id,start_date,close_date,job_title,job_type,organization_info,show_employer_name,featured,responsibility,essential_skills,professional_field,job_description,required_expertise,employer,location,distance,salary,currency
1,13/07/2020,22/07/2020,Data Scientist,full time,,Y,N,,,Vehicle,Design and preparation of new functional materials for the vehicle,,Guangxi Science and Technology Plan Talent Introduction Project or Ministry of Science and Technology Talent Introduction,Guangxi,remote available,1000,GBP
2,14/07/2020,23/07/2020,Software Engineer,part time,,Y,N,,,Vehicle,Preparation of the key materials for the battery,,Guangxi Science and Technology Plan Talent Introduction Project or Ministry of Science and Technology Talent Introduction,Guangxi,remote unavailable,2000,GBP
3,15/07/2020,24/07/2020,Product Manager,contract,,Y,N,,,Vehicle,Analysis and research on the roadmap of the auto parts,,Guangxi Science and Technology Plan Talent Introduction Project or Ministry of Science and Technology Talent Introduction,Guangxi,remote available,3000,GBP
4,16/07/2020,25/07/2020,Data Analyst,full time,,Y,N,,,Vehicle,Big data construction of information system of the car dealers,,Guangxi Science and Technology Plan Talent Introduction Project or Ministry of Science and Technology Talent Introduction,Guangxi,remote unavailable,4000,GBP
5,17/07/2020,26/07/2020,Marketing,part time,,Y,N,,,Vehicle,"Automatic software and hardware development technology for the vehicle and manufacturing prats, which can satisfy the requirement of customization",,Guangxi Science and Technology Plan Talent Introduction Project or Ministry of Science and Technology Talent Introduction,Guangxi,remote available,5000,GBP
6,18/07/2020,27/07/2020,Data Scientist,contract,,Y,N,,,Vehicle,Navigation and control technology for self-service logistic vehicles in the field of automobile vehicles and manufacturing parts,,Guangxi Science and Technology Plan Talent Introduction Project or Ministry of Science and Technology Talent Introduction,Guangxi,remote unavailable,6000,GBP
7,19/07/2020,28/07/2020,Software Engineer,full time,,Y,N,,,Vehicle,Application technology of big data in the field of automotive vehicle and manufacturing parts,,Guangxi Science and Technology Plan Talent Introduction Project or Ministry of Science and Technology Talent Introduction,Guangxi,remote available,7000,GBP
8,20/07/2020,29/07/2020,Product Manager,part time,,Y,N,,,Vehicle,Develop intelligent wheel system and innovate carís extremely high power saving mode,,Guangxi Science and Technology Plan Talent Introduction Project or Ministry of Science and Technology Talent Introduction,Guangxi,remote unavailable,8000,GBP
9,21/07/2020,30/07/2020,Data Analyst,contract,,Y,N,,,Vehicle,"Design of the rim six-component wheel force measurement system, based on strain decoupling principle",,Guangxi Science and Technology Plan Talent Introduction Project or Ministry of Science and Technology Talent Introduction,Guangxi,remote available,9000,GBP
10,22/07/2020,31/07/2020,Marketing,full time,,Y,N,,,Vehicle,Develop intellectual algorithm,,Guangxi Science and Technology Plan Talent Introduction Project or Ministry of Science and Technology Talent Introduction,Guangxi,remote unavailable,10000,GBP
11,23/07/2020,10/09/2020,Data Scientist,part time,,Y,N,,,Vehicle,"Prove, research and testís result of the intellectual wheel system",,Guangxi Science and Technology Plan Talent Introduction Project or Ministry of Science and Technology Talent Introduction,Guangxi,remote available,12000,GBP
